universityName,countryName,programName,studyLevel,campus,duration,openIntakes,intakeYear,entryRequirements,ieltsScore,ieltsNoBandLessThan,pteScore,pteNoBandLessThan,toeflScore,duolingo,gmatScore,greScore,yearlyTuitionFees,currency,applicationDeadline,workExperience,scholarships,careerProspects,accreditation,specializations
Harvard University,United States,Master of Data Science,Postgraduate,Main Campus,2 years,September,2024,Bachelor degree with strong quantitative background,6.5,6.0,58,50,90,,320,,$55000,USD,December 15 2023,,Research assistantships,Data Scientist,ABET,Machine Learning
Harvard University,United States,Bachelor of Computer Science,Undergraduate,Main Campus,4 years,September,2024,High school diploma with excellent grades,6.5,6.0,58,50,90,,,,$50000,USD,January 1 2024,,Merit scholarships,Software Engineer,,Programming
University of Oxford,United Kingdom,Master of Computer Science,Postgraduate,Main Campus,1 year,October,2024,First-class honours degree in Computer Science,7.0,6.5,70,65,100,,,,$42000,GBP,March 10 2024,,Oxford scholarships,Research Scientist,,Machine Learning
University of Oxford,United Kingdom,Bachelor of Mathematics,Undergraduate,Main Campus,3 years,October,2024,A-levels AAA in Mathematics,7.0,6.5,70,65,100,,,,$35000,GBP,October 15 2023,,College scholarships,Mathematician,,Pure Mathematics
University of Toronto,Canada,Master of Data Analytics,Postgraduate,St. George Campus,2 years,September,2024,Bachelor degree with minimum B+ average,6.5,6.0,60,55,93,,,,$45000,CAD,January 15 2024,,NSERC scholarships,Data Analyst,,Statistics
University of Toronto,Canada,Bachelor of Engineering,Undergraduate,St. George Campus,4 years,September,2024,High school diploma with 85% average,6.5,6.0,60,55,93,,,,$55000,CAD,January 13 2024,,Entrance scholarships,Engineer,,Engineering
University of Melbourne,Australia,Master of Artificial Intelligence,Postgraduate,Parkville Campus,2 years,February,2024,Bachelor degree in Computer Science or related field,6.5,6.0,58,50,79,,,,$43000,AUD,October 31 2023,,Melbourne scholarships,AI Engineer,,Artificial Intelligence
University of Melbourne,Australia,Bachelor of Information Technology,Undergraduate,Parkville Campus,3 years,February,2024,VCE with strong mathematics background,6.5,6.0,58,50,79,,,,$42000,AUD,December 30 2023,,International scholarships,Software Developer,,Software Engineering
Technical University of Munich,Germany,Master of Robotics,Postgraduate,Main Campus,2 years,October,2024,Bachelor degree in Engineering with good grades,6.0,5.5,55,50,80,,,,$3000,EUR,May 31 2024,,DAAD scholarships,Robotics Engineer,,Robotics
Technical University of Munich,Germany,Bachelor of Mechanical Engineering,Undergraduate,Main Campus,3 years,October,2024,Abitur with strong mathematics and physics,6.0,5.5,55,50,80,,,,$500,EUR,July 15 2024,,Merit scholarships,Mechanical Engineer,,Mechanical Engineering